Class number,Week number,Section,Topic,Readings
1,35,Lecture,Introduction: What this course is about?,"McGregor, W. B. (2015) Chapter 8: Psycholinguistics"
,,Lab,Introduction to the lab sessions,N&W Part 1 Chapter 1: Why We Learn Statistics?
2,36,Lecture,The classic aphasia syndromes,Kem chapter 1 pp. 3-10; Kem chap 3
,,Lab,,
3,37,Lecture,Primary progressive aphasia,Kem chapter 1 pp. 11-20; Kem chap 4
,,Lab,,
4,38,Lecture,The dual stream model of speech perception,Kem chapter 5 pp. 111-127
,,Lab,,
5,39,Lecture,More detail on the dual stream model,Kem chapter 5 pp. 127-144
,,Lab,,
6,40,Lecture,Basic models of speech production,Kem chapter 6 pp. 145-168
,,Lab,mid-semester evaluation,
7,41,Lecture,Models of object noun representation,Kem chapter 10 pp. 273-295
,,Lab,,
Autumn Break,42,-,,
,,-,,
8,43,Lecture,Perception and production of prosody,Kem chapter 7
,,Lab,,
9,44,Lecture,Grounded cognition for action verbs,Kem chapter 11 pp. 309-324
,,Lab,,
10,45,Lecture,Visit to Brain Museum,
,,Lab,,
11,,Lecture,Dyslexia and dysgraphia,Kem chapter 8 pp. 215-230
,46,Lab,,
12,,Lecture,Cognitive models of reading,Kem chapter 8 pp. 230-243
,,Lab,end of semester evaluation,
13,47,Lecture,Pragmatic disorders,"Cummings, L. (2009), chapter 3"
,,Lab,,