Participant ID;Reading (no int);Naming (int);Naming (no int);Reading (int);Non-native speaker?;Other notes?
lisa;5.68;12.66;8.37;8.13;;
Johan;4.02;8.24;5.56;4.78;;redo reading (no int)
Katrin;4.52;9.14;7.47;5.28;;redo reading (no int). naming (int) (was interrupted) 
Joan;4.46;11.71;6.56;3.99;;
Sofia;5.67;9.86;5.31;5.09;;
Sofie O;5.44;9.64;6.5;6.06;;redo naming (no int) because of cough
Tina;4.92;10.06;6.49;4.52;;
Lisa;4.43;8.84;4.46;4.21;;prøvet før
Hana;3.64;8.83;4.26;3.99;;Redo for naming (no int)
Anne-Sofie;4.32;9.51;5.48;4.71;;
Katrine V;3.47;9.24;4.68;5.54;;
Alvina;8.16;12.33;11.71;07.23;x;
Alex;4.49;9.82;12.56;9.58;;
Peter;5.31;8.61;6.13;4.94;;In reading (no int) there was a swear word in between
Freja;4.73;9.55;6.27;5.31;;
Alexander;6.11;8.91;5.43;14.71;;
Katrine H.;7.06;12.44;8.15;11.85;;
Tanja;4.43;8.86;5.54;5.68;;Har prøvet før
Paw;5.01;9.16;7.10;7.26;;
Sviola;7.35;9.84;4.78;4.78;;
Jens;3.22;5.43;4.62;4.16;;har prøvet før
Sara;3.66;8.3;4.22;4.76;;
Kristina;3.42;8.35;4.3;3.53;;
Sofie;5.59;7.79;5;11;x;Saying the words in english - focus on the words not the colors
Tsveta;6.00;10.69;8.33;6.13;x;
Muaii;7.45;8.86;6.93;7.20;x;
Lærke;3.53;10.35;5.15;4;;
Laura;4.22;9.22;4.33;4.56;;