Group Number,ReadingNoInt,NamingInt,NamingNoInt,ReadingInt,Native speaker
Group 1,5.79,11.32,10.01,5.95,No
Group 1,5.26,7.94,5.05,5.93,Yes
Group 1,5.02,6.5,5.18,4.39,Yes
Group 1,4.87,7.66,6.4,6.06,No
Group 2,4.62,10.01,6.28,9.55,Yes
Group 2,5,11.2,6.24,6.96,Yes
Group 2,4.96,8.02,4.98,4.91,Yes
Group 2,4,8.76,5.08,6.99,Yes
Group 3,4.68,10.33,7.85,10.47,Yes
Group 3,6.79,11.16,6.86,29.47,No
Group 3,4.98,10.86,6.99,6.22,Yes
Group 3,5.48,11.14,6.79,7.03,Yes
Group 3,5.07,17.55,6.93,9.62,Yes
Group 4,4.28,12.45,4.54,4.81,Yes
Group 4,4.72,10.13,6.51,10.21,Yes
Group 4,4.66,11.64,6.1,5.05,Yes
Group 4,5.16,10.36,7.94,5.53,No
Group 4,7.07,6.88,5.5,6.45,No
Group 9,4.6,11.2,6.32,4.6,Yes
Group 9,4.52,8.83,5.97,5.28,Yes
Group 9,3.93,8.92,6.05,5.72,Yes
Group 9,4.7,9.69,5.13,7.12,Yes
Group 9,3.98,8.06,6.35,6.28,Yes
Group 6,3.98,10.58,6.77,7.09,No
Group 6,4.85,21.79,9.05,6.17,Yes
Group 6,3.69,6.82,4.54,5.29,Yes
Group 7,4.3,7.08,6.25,4.28,Yes
Group 7,4.75,9.66,6.12,5.49,Yes
Group 7,4.98,7.52,6.73,5.16,No
Group 7,5.16,8.81,8.19,5.51,Yes
Group 7,4.27,10.4,5.32,4.59,Yes